Speichermedien;Storage media;Mémoires;Drive ;Opslag media;Dizin;Napędy;Unidades;Носитель информации;存储介质;Носій інформації;Tárolóeszköz;Μέσα αποθήκευσης
Einstellungen für alle Dosierer übernehmen;Accept settings for all units;Accepter les paramètres pour tous les doseurs;Accettare i parametri per tutti i dosatori;Instellingen voor alle doseerunits overnemen;Ayarları bütün dağıtıcılara almak;Zastosuj ustawienia dla wszystkich jednostek dozujących;Aplicar ajustes a todos los dosificadores;Применение настроек для всех дозаторов;应用所有配料单元的设置;Застосувати налаштування для всіх дозаторів;Beállítások alkalmazása az összes adagolóegységre;Εφαρμογή ρυθμίσεων για όλες τις μονάδες δοσομέτρησης
Benutzername;User name;Nom d'utilisateur;Nome utente;Gebruikersnaam;Kullanıcı adı;Nazwa użytkownika;Nombre de usuario;Имя пользователя;用户名;Ім'я користувача;Felhasználó neve;Όνομα χρήστη
Passwort;password;Mot de passe;Password;Wachtwoord;Şifre;Hasło;Contraseña;Пароль;密码;Пароль;;
Bitte geben Sie ihr Passwort ein.\nAchten Sie dabei auf Groß- und Kleinschreibung.;Please enter your password.\nPay attention to upper and lower case letters.;Veuillez entrer votre mot de passe.\nRespecter les majuscules et minuscules.;Inserire la password.\nFare attenzione alle maiuscole e alle minuscole.;Voer wachtwoord in.\nLet daarbij op grote en kleine letters.;Şifrenizi veriniz.\nBüyük ve küçük harflere dikkat ediniz.;Proszę wpisać swoje hasło.\nZwróć uwagę na duże i małe litery.;Introduzca su contraseña.\nTenga en cuenta que su contraseña distingue entre mayúsculas y minúsculas.;Пожалуйста, введите ваш пароль.\nПримите во внимание, что он чувствителен к регистру.;请输入您的密码。;Будь ласка, введіть свій пароль. Зверніть увагу, що він чутливий до регістру.;Kérjük, adja meg jelszavát.\nKérjük, vegye figyelembe, hogy a nagy- és kisbetűk érzékenyek.;Παρακαλούμε εισάγετε τον κωδικό πρόσβασής σας.\nΠαρακαλείστε να σημειώσετε ότι είναι ευαίσθητος ως προς την πεζότητα.
Sie haben sich erstmalig als Benutzer angemeldet.\nBitte geben Sie Ihr Passwort ein und bestätigen Sie dieses nochmals.;You have registered as a user for the first time.\nPlease enter your password and confirm it again.;Vous vous êtes enregistré pour la première fois en tant qu'utilisateur.\nEntrer votre mot de passe et le valider.;Utente registrato la prima volta;U bent voor de eerste keer als gebruiker ingelogd.\nVul uw wachtwoord in en bevestig opnieuw.;İlk defa kullanıcı olarak kayıt oluyorsunuz.\nLütfen şifrenizi tekrar verip onaylayınız.;Po raz pierwszy zalogowałeś się jako użytkownik.\nProszę wpisać hasło i potwierdzić je ponownie.;Se ha conectado como usuario por primera vez.\nPor favor, introduzca su contraseña y confírmela de nuevo.;Вы впервые вошли в систему как пользователь.\nПожалуйста, введите пароль и подтвердите его еще раз.;请输入您的密码并再次确认。;Ви вперше увійшли як користувач. Будь ласка, введіть пароль і підтвердіть його ще раз.;Ön először jelentkezett be felhasználóként.\nKérjük, adja meg jelszavát és erősítse meg újra.;Συνδεθήκατε ως χρήστης για πρώτη φορά.\nΠαρακαλούμε εισάγετε τον κωδικό πρόσβασής σας και επιβεβαιώστε τον ξανά.
Passwort bestätigen;Confirm Password;Valider votre mot de passe;Confermare (la) password;Wachtwoord bevestigen;Şifreyi onaylamak;Potwierdź hasło;Confirmar contraseña;Подтвердите пароль;确认密码;Підтвердити пароль;Jelszó megerősítése;Επιβεβαίωση κωδικού πρόσβασης
Abbrechen;Cancel;Annuler;Annullare;Afbreken;İptal etmek;Anuluj;Cancelar;Отменить;取消;Скасувати;Cancel;Ακύρωση
Rezepturarchiv;Recipe archive;Archive recette;Archivio ricette;Opgeslagen recepten;Reçete arşivi;Archiwum przepisów;Archivo de recetas;Архив рецептов;食谱档案;Архів рецептів;Recept archívum;Αρχείο συνταγών
Öffnen;open;Ouvrir;Aprire;Openen;Açmak;Otwórz;Abrir;Открыть архив рецептов;打开;Відкрити архів рецептів;Megnyitás;Άνοιγμα
Angelegte Rezepturen;Recipe archive;Recettes appliquées;Ricette impostate ;Gemaakte recepten;Oluşturulan tarifler;Utworzone przepisy;Recetas creadas;Созданные рецепты;创建的食谱;Створені рецепти;Létrehozott receptek;Δημιουργημένες συνταγές
Rezeptur;Recipe;Recette;Ricetta;Recept;Reçete  ;Przepis;Receta;Рецепты;食谱;Рецепт;Recept;Συνταγή
Löschen;delete;Effacer;Cancellare;Verwijderen;Silmek;Usuń;Borrar;Удалить рецепт;删除配方;Видалити рецепт;Recept törlése;Διαγραφή
Dosierung;Feeder;Doseur;Dosaggio;Dosering;dozaj;Dawkowanie;Dosificación;Дозировка;用量;Дозування;Adagolás;Δοσολογία
Max.Nachfüllgrenze [kg];Max. refill limit [kg];Niv. remplissage, max.  [kg];Livello mass. di riempimento [kg];Max.Navulniveau [kg];Maks. doldurma limiti [kg];Maks.limit napełnienia [kg];Dosificación máx. [kg];Макс. Уровень пополнения [кг];最大剂量 加料量 [kg］;Макс. Рівень заповнення [кг];Max. Újratöltési szint [kg];Μέγιστο επίπεδο αναπλήρωσης [kg]
Min.Nachfüllgrenze [kg];Min. refill limit [kg];Niv. remplissage, min.  [kg];Livello min. di riempimento  [kg];Min.Navulniveau [kg];Asgari doldurma seviyesi [kg];Min.limit napełniania [kg];Nivel mín. de llenado [kg];Мин. уровень пополнения [кг];最小加料量 [kg];Мінімальний рівень заповнення [кг];Min. utántöltési szint [kg];Ελάχιστο επίπεδο αναπλήρωσης [kg]
Nachfülldauer [s];refill time [s];Durée remplissage [s];Durata di riempimento  [sec.];Navulduur [s];Doldurma süresi [sn];Czas uzupełniania [kg];Tiempo de rellenado [kg];Время пополнения [с];加料时间 [s］;Час дозування [с];Újratöltési idő [s];Χρόνος αναπλήρωσης [s]
Alarmpegel [kg];Alarm refill limit [kg];Niveau, Alarme  [kg];Livello min.-min.  [kg];Leegloopniveau [kg];Alarm seviyesi [kg];Poziom alarmowy [kg];Nivel de alarma [kg];Уровень тревоги [кг];报警液位 [kg］;Рівень тривоги [кг];Riasztási szint [kg];Επίπεδο συναγερμού [kg]
Alarmpegel leer [kg];Alarm level empty [kg];Niveau d'alarme vide [kg];Livello d'allarme vuoto [kg];Alarmniveau leeg [kg];Alarm seviyesi boş [kg];Poziom alarmowy pusty [kg];Nivel de alarma vacío [kg];Уровень тревоги пустой [кг];警报水平空[千克］;Рівень тривоги порожній [кг];Riasztási szint üres [kg];Επίπεδο συναγερμού κενό [kg]
Nachfüllen starten;Refill request;Démarrer le remplissage;Iniziare il riempimento;Navullen starten;Yeniden doldurmayı başlat ;Rozpocznij uzupełnianie;Empezar a rellenar;Начать пополнение;开始加注;Почніть поповнювати;Újratöltés megkezdése;Έναρξη επαναπλήρωσης
Nachfüllen;Refill;remplissage;riempimento;Navullen;Dolum;Uzupełnienie;Recarga;Дозаправка;加注;Поповнити;Újratöltés;Επαναπλήρωση
Leerfahren;Empty feeder;Vider le doseur;Dosatore vuoto;Lege doseerunit;Boş dozajlama ünitesi;Pusty dozownik;Dosificador vacío;Запуск пустого;空运行;Запустити порожній;Üres futás;Εκτέλεση άδειο
Leerfahren beenden;End empty feeder;Terminer le vidage du doseur;Interrompere il dosatore a vuoto;Doseerunit leeglopen stoppen;Dozajlama ünitesinin boş çalışmasını durdurun;Koniec pracy na biegu jałowym;Detener dosificador en vacío;Окончание пустого пробега;结束空运行;Зупинити порожній пробіг;Üres futás vége;Τερματισμός άδειου τρεξίματος
Leerfahren stoppen;Stop empty feeder;Arrêter le vide du doseur;Interrompere il dosatore a vuoto;Doseereenheid leegloop stoppen;Dozajlama ünitesinin boş çalışmasını durdurun;Przestań podróżować na pusto;Detener dosificador vacío;Остановить пустой пробег;停止空跑;Зупинити роботу на порожньому місці;Üres futás leállítása;Διακοπή λειτουργίας κενού
Nachfüllen stoppen;Stop refill;Arrêter le remplissage;Interrompere il riempimento;Stoppen met bijvullen;Yeniden doldurmayı durdur;Zatrzymaj uzupełnianie;Dejar de rellenar;Остановить дозаправку;停止加注;Припинити заправку;Újratöltés leállítása;Διακοπή επαναπλήρωσης
Leerfahren wirklich starten;Really start empty feeder;Démarrer vraiment le doseur à vide;Avviare davvero il dosatore vuoto;Echt starten van de lege doseereenheid;Boş dozajlama ünitesini gerçekten çalıştırın;Ponowne uruchomienie pustego dozownika;Arrancar realmente el dosificador vacío;Пустое настоящее начало;真正开始排空;Дійсно запустити порожній пробіг;Tényleg üres futás indítása;Πραγματική έναρξη κενής διαδρομής
Max.Nachfüllzeit [s];Max. Refill time [s];Temps de recharge max. [s];Tempo di ricarica mass. [s];Maximale navultijd [s];Maks. yeniden dolum süresi [s];Maks. Czas uzupełniania [s];Máx. Tiempo de llenado [s];Макс. Время пополнения [с];最大 加注时间 [s];Макс. Час дозаправки [с];Maximális feltöltési idő [s];Μέγιστος χρόνος επαναπλήρωσης [s]
Akt. Gewicht [kg];Actual weight [kg];Poids actuel [kg];Peso attuale  [kg];Act. Gewicht [kg];Güncel ağırlık;Aktualna waga [kg];Act. Peso [kg];Акт. Вес [кг];作用 重量 [kg];Діяти Вага [кг];Jelenlegi súly [kg];Τρέχον βάρος [kg]
ext. Nachfüllstopp;Ext. Refill stop;Arrêt externe de remplissage;Arresto riempimento, esterno;ext. Navulstop;Harici doldurma durağı;Zewnętrzny stop uzupełniania;ext. Parada de rellenado;экст. Остановка заправки;ext. 加注停止;доп. Зупинка поповнення;Külső utántöltés leállítása;εξωτερική στάση επαναπλήρωσης
Test;Test time [s];Test;Test;Test;Test;est;Prueba;тест;测试;тест;Teszt;δοκιμή
Max;Max;Max;Max;Max;Maks;Max;Max;Макс.;最大值;Макс.;Max;Μέγ.
Min;Min;Min;Min;Min;Asgari  ;Min;Mín;Мин;最小;Min;Min;Min
Dauer;Duration;Durée;Durata;Duur;Süre;Czas trwania;Duración;Продолжительность;持续时间;Тривалість;Időtartam;Διάρκεια
Umschaltverzögerung [s];Switch delay [s];Retard de commutation [s];Ritardo d'inversione [s];Omschakelvertraging [s];Anahtarlama gecikmesi [sn];Opóźnienie przełączania [s];Retardo de conmutación [s];Задержка переключения [с];切换延迟 [s];Затримка перемикання [с];Kapcsolási késleltetés [s];Καθυστέρηση μεταγωγής [s]
Umschaltverzögerung;Switch delay;Retard de commutation;Ritardo d'inversione ;Omschakelvertraging;Anahtarlama gecikmesi;Opóźnienie przełączania;Retardo de conmutación;Задержка переключения;切换延迟;Затримка перемикання;Átkapcsolási késleltetés;Καθυστέρηση εναλλαγής
Regelparameter;Control parameter;Paramètre de contrôle;Parametro regolamentare ;Regelparameter;Kontrol parametreleri;Parametr sterujący;Parámetro de control;Параметры управления;控制参数;Параметри керування;Vezérlési paraméterek;Παράμετροι ελέγχου
Regelparameter ändern;Change control parameter;Changer paramètre de contrôle;Change control parameter;Change control parameter;Kontrol parametrelerini değiştir;Zmiana parametru sterującego;Cambiar parámetro de control;Изменение параметров управления;更改控制参数;Змінити параметри керування;Vezérlési paraméterek módosítása;Αλλαγή παραμέτρων ελέγχου
Max. Drehzahl [U/min];Max. rot.speed [R/min];Vitesse de rot. max [tr/min];Regime di rotazione max [1/min];Max. Toerental [rpm];Maksimum devir sayısı ;Maksymalna prędkość obrotowa [obr/min];Máx. Velocidad [rpm];Макс. Скорость [об/мин];最大转速 转速 [rpm］;Макс. Швидкість [об/хв];Maximális fordulatszám [rpm];Max. Ταχύτητα [rpm]
Max. Drehzahl;Max. rot.speed;Vitesse de rot. max;Regime di rotazione max;Max. Toerental;Maksimum devir sayısı ;Prędkość maks.;Velocidad máx. Velocidad [rpm];Макс. макс. скорость;最大 最大速度;Макс. макс. швидкість;Maximális fordulatszám;Μέγ. μέγιστη ταχύτητα
Prop. Verstärkung [%];Prop. gain [%];Amplificateur prop. [%];Amplificatore proporzionale [%];Motor koppel verzwaren  [%];Oransal Çoğaltma [%];Wzmocnienie proporcjonalne [%];Prop. Ganancia [%];Проп. Усиление [%];Prop. 增益 [%];Пропелер Коефіцієнт підсилення [%];Arányos erősítés [%];Prop. Κέρδος [%]
Messzeit [s];Test time [s];Période de mesure [s];Periodo di misurazione [s];Meettijd [s];Ölçüm süresi [sn];Czas pomiaru [s];Tiempo de medición [s];Время измерения [с];测量时间 [s］;Час вимірювання [с];Mérési idő [s];Χρόνος μέτρησης [s]
Stellbefehl [%];Drive command [%];Signal commande [%];Segnale di comando [%];Commando [%];Ayar komutu [%];Polecenie pozycjonowania [%];Comando de posicionamiento [%];Команда управления [%];驱动指令 [%];Команда керування [%];Hajtási parancs [%];Εντολή οδήγησης [%]
Kalibrieren;Calibrate;Calibrage;Calibrare;Kalibreren;Çaplamak;Kalibracja;Calibrar;Калибровка;校准;Відкалібрувати;Kalibrálja a  címet.;Βαθμονόμηση
kalibrieren;calibrate;Calibrage;calibrare;Kalibreren;Çaplamak;kalibracja;Calibrar;Калибровка;校准;Відкалібрувати;Kalibrálni;Βαθμονόμηση
Dosierperformanz [kg/h];Dose performance [kg/h];Performance dosage [kg/h];Prestazioni dosaggio [kg/h];Doseerprestatie [kg/h];Dozajlama perf. [kg/h];Wydajność dozowania [kg/h];Rendimiento de dosificación [kg/h];Производительность дозирования [кг/ч];配料性能 [kg/h］;Продуктивність дозування [кг/год];Adagolási teljesítmény [kg/h];Απόδοση δοσολογίας [kg/h]
Dosierperformanz;Dose performance;Performance dosage;Prestazioni dosaggio;Doseerprestatie;Dozajlama performansı;Wydajność dozowania [kg/h];Rendimiento de dosificación [kg/h];Производительность дозирования;配料性能;Продуктивність дозування;Adagolási teljesítmény;Απόδοση δοσομέτρησης
Abtastintervall [s];Sampling interval [s];Intervalle échantillonnage  [s];Intervallo di scansione ;Controle interval [s];Örnekleme aralığı [sn];Interwał próbkowania [s];Intervalo de muestreo [s];Интервал отбора проб [с];采样间隔 [s］;Інтервал відбору проб [с];Mintavételi időköz [s];Διάστημα δειγματοληψίας [s]
Kalibrierung;Calibration;Calibrage;Calibratura;Kalibrering;Kalibrasyon;Kalibracja;Calibración;Калибровка;校准;Калібрування;Kalibrálás;Βαθμονόμηση
Bezugsgröße [kg/h];Reference value [kg/h];Valeur d´orientation  [kg/h];Valore d'orientamento [kg/h];Referentiegrootte [kg/h];Taban;Wartość referenc. [kg/h];Cantidad de referencia [kg/h];Контрольное значение [кг/ч];参考变量 [kg/h］;Змінна порівняння [кг/год];Referencia változó [kg/h];Μεταβλητή αναφοράς [kg/h]
Bezugsgröße;Reference value;Valeur d´orientation;Valore d'orientamento;Referentiegrootte;Taban;Wartość referencyjna;Valor de referencia;Контрольная переменная;参考变量;Опорна змінна;Referencia változó;Μεταβλητή αναφοράς
Drehzahlüberwachung [pm];Rot.speed monitor [pm];Surv. de vitesse de rot. [pm];Sorv. del regime di rot. [pm];Toerentalcontrole [pm];Devir sayısı izleme [pm];Monitor prędkości [pm];Monitor de velocidad [pm];Контроль частоты вращения [пм];速度监控器 [pm］;Монітор швидкості [об/хв];Sebességmérő [pm];Παρακολούθηση ταχύτητας [pm]
Drehzahlmonitor [pm];Rot.speed monitor [pm];Surv. de vitesse de rot. [pm];Sorv. del regime di rot. [pm];Toerentalcontrole [pm];Devir sayısı izleme [pm];Monitor prędkości [pm];Monitor de velocidad [pm];Контроль частоты вращения [pm];速度监控器 [pm］;Монітор швидкості [об/хв];Sebességmérő [pm];Παρακολούθηση ταχύτητας [pm]
Drehzahlmonitor;Rot.speed monitor;Surv. de vitesse de rot. ;Sorv. del regime di rot. ;Toerentalcontrole;Devir sayısı izleme;Monitor prędkości [‰];Monitor de velocidad;Контроль частоты вращения;速度监控器;Монітор швидкості;Sebességmérő;Παρακολούθηση ταχύτητας
Skalierung [%];Scaling [%];Changement signal de commande, max [%];Cambiamento segnale di comando max [%];Verschaling  [%];Ayar komutunu değiştirme [%];Skalowanie [%];Escala [%];Масштабирование [%];缩放比例 [%];Масштабування [%];Méretezés [%];Κλιμάκωση [%]
Torfilter [%];Gate filter [%];Filtre de porte [%];Filtraggio di apertura [%];Poortfilter [%];Kapı filtreleri [%];Filtr bramkowy [%];Filtro de puerta [%];Затворный фильтр [%];门滤波器 [%];Режекторний фільтр [%];Kapuszűrő [%];Φίλτρο πύλης [%]
Erweitert >>;Advanced >>;Avancé >>;Allargare;verlengt >>;Genişletilmiş >>;Zaawansowane >>;Avanzado >>;Расширенная >>;扩展 >>;Розширено >>>>;Kiterjesztett >>;Εκτεταμένο >>
Istwertfilter [%];Massflow filter [%];Filtrage débit [%];Valore istantaneo di filtraggio [%] ;Act. waarde filter [%];gerçek değer filt. [%];Filtr wartości rzeczywistej [%];Filtro de valor real [%];Фильтр фактического значения [%];实际值滤波器 [%];Фільтр фактичного значення [%];Tényérték szűrő [%];Φίλτρο πραγματικής τιμής [%]
Anlaufverzögerung [s];Startup delay [s];Retard de démarrage [s];Ritardo di avviamento [s] ;Aanloopvertraging [s];Başlangıç şablonu [sn];Opóźnienie uruchomienia [s];Retardo de arranque [s];Задержка запуска [с];启动延迟 [s];Затримка запуску [с];Indítási késleltetés [s];Καθυστέρηση εκκίνησης [s]
Diff. Dosierwaage - LWF;Loss in Weight Feeder - LWF;Balance de dosage différentielle - LWF;Bilancia differenziata di dosaggio - LWF;Differentieel weegsysteem - LWF;Diferansyal dozaj ölçeği - LWF;Podajnik różnicowy - LWF;Dif. Escala de dosificación - LWF;Дифф. Шкала дозирования - LWF;差值 配料比例 - LWF;Різниця Шкала дозування - LWF;Diff. Adagolási skála - LWF;Κλίμακα διαφορικής δοσομέτρησης - LWF
QM-Nummer;QM-Number;Numéro QM;Numero QM;QM-Nummer;QM sayısı;Numer QM;Número QM;Номер QM;QM 编号;Номер QM;QM szám;Αριθμός QM
CLR;CLR;CLR;CLR;Reset;CLR;CLR;CLR;CLR;CLR;CLR;CLR;CLR
Akt. Dosierperformanz [kg/h];Act. dose performance [kg/h];Performance dosage act. [kg/h];Prestazioni dosaggio att. [kg/h];Act. doseerprestaties [kg/h];Güncel Q maksimum faktörü [kg/h];Rzeczywista wydajność dozowania [kg/h];Act. Rend. dosificación [kg/h];Акт. Производительность дозирования [кг/ч];行动 配料性能 [kg/h］;Акт. Продуктивність дозування [кг/год];Jelenlegi adagolási teljesítmény [kg/h];Τρέχουσα απόδοση δοσολογίας [kg/h]
Akt. Totalisator [kg];Act. totalizer  [kg];Totalisateur actuel [kg];Consumo attuale {kg];Totaalgewicht acuteel [kg];Güncel tüketim [kg];Bieżące zużycie [kg];Act. Totalizador [kg];Акт. Сумматор [кг];Act. 累加器 [公斤］;Акт. Суматор [кг];Jelenlegi összegző [kg];Τρέχων αθροιστής [kg]
Rezeptanteil [%];Recipe part [%];Quote-part recette [%];Quota ricetta [%];Receptaandeel [%];Reçete oranı [%];Udział recepturowy [%];Proporción de receta [%];Доля рецепта [%];配方比例 [%];Пропорція в рецепті [%];Recept aránya [%];Αναλογία συνταγής [%]
Start;Start;Démarrage;Inizio / Avviamento;Start;Başlangıc;Start;Inicio;Старт;开始;Старт;Start;Έναρξη
Stop;Stop;Arrêt;Stop;Stop;Stop;Stop;Stop;Остановка;停止;Стоп;Stop;Διακοπή
vol. extern;Vol. Extern;vol. externe;vol. esterno;Volumetrisch extern;Hacimsel dış;wolumetryczny zewnętrzny;vol. externo;объём внешний;外部体积;об'єм зовнішній;vol. külső;όγκος εξωτερικός
Akt. Drehzahl [U/min];Act. Rot.speed [rpm];Vitesse de rot. act. [tr/min];Regime attuale di rotazione [1/min];Act. Snelheid [U/min];Güncel devir sayısı [U/min];Prędkość obrotowa [obr/min];Act. Velocidad [rpm];Акт. Скорость [об/мин];Act. 转速 [rpm］;Акт. Швидкість [об/хв];Aktuális fordulatszám [rpm];Τρέχουσα ταχύτητα [rpm]
Nettogewicht  [kg];Net weight  [kg];Poids net [kg];Peso netto [kg];Nettogewicht [kg];Safi ağırlık [kg];Masa netto [kg];Peso neto [kg];Вес нетто [кг];净重 [kg］;Вага нетто [кг];Nettó súly [kg];Καθαρό βάρος [kg]
VolGrav;VolGrav;VolGrav;VolGrav;VolGrav;VolGrav;VolGrav;VolGrav;VolGrav;体积重力;VolGrav;VolGrav;VolGrav
Name;Name;Nom;Nome;Naam;İsim ;Nazwa;Nombre;название;名称;назва;név;Όνομα
Linie;Line;Ligne;Linea;Lijn;Sıra;Linia;Línea;Линия;线路;Лінія;Vonal;Γραμμή
Regenerat;Regenerate;Recyclage;Riciclaggio;Geregenereert;Yeniden öğütme ;Regeneruj;Regenerar;Регенерация;再生;Регенерувати;Regenerátum;Αναγέννηση
Wägezellenadresse;Load cell address;Adresse du capteur de pesage;Posizione celle di carico;Weegceladres;Yük hücresi adresi;Adres komórki ładującej;Dirección de la célula de carga;Адрес тензодатчика;称重传感器地址;Адреса тензодатчика;Terhelési cella címe;Διεύθυνση κυψέλης φορτίου
SET;SET;SET;SET;SET;SET;SET;SET;SET;设置;SET;SET;SET
Wägezellen;Load cell;Cellules de pesage;Celle di carico;Loadcel;Yük hücreleri;Komórki ładunkowe;Células de carga;Ячейки нагрузки;称重传感器;Тензодатчики;Terheléscellák;Κυψέλες φορτίου
Korrekturfaktor;Correction factor;Facteur de correction;Fattore di correzione;Correctiefactor;Düzeltme faktörü;Współczynnik korekcji;Factor de corrección;Поправочный коэффициент;校正系数;Поправочний коефіцієнт;Korrekciós tényező;Συντελεστής διόρθωσης
Waagenbereich;Scale range;Portée balance;Portata della bilancia ;Loadcelbereik;Ölçek alanı;Zakres skali;Escala;Диапазон шкалы;刻度范围;Діапазон шкали;Skála tartomány;Εύρος κλίμακας
kg;kg;kg;kg;kg;kg;kg;kg;кг;公斤;кг;kg;kg
kg/h;kg/h;kg/h;kg/h;kg/h;kg/h;kg/h;kg/h;кг/ч;公斤/小时;кг/год;kg/h;kg/h
kg/m;kg/m;kg/m;kg/m;kg/m;kg/m;kg/m;kg/m;кг/м;公斤/米;кг/м;kg/m;kg/m
Bruttogewicht;Gross weight;Poids brut ;Peso lordo;Brutogewicht;Brüt ağırlık;Waga brutto;Peso bruto;Вес брутто;毛重;Вага брутто;Bruttó tömeg;Μικτό βάρος
Materialgewicht;Material weight;Poids net produit;Peso netto (del) materiale;Materiaalgewicht;Malzeme ağırlığı;Masa materiału;Peso del material;Вес материала;材料重量;Маса матеріалу;Anyag súlya;Βάρος υλικού
Taragewicht [kg];Tara weight [kg];Poids tare [kg];Peso tara [kg];Taragewicht [kg];Dara ağırlığı;Masa własna [kg];Peso de tara [kg];Собственный вес [кг];皮重 [千克］;Власна вага [кг];Saját tömeg [kg];Βάρος αποσκευών [kg]
Stat. Rauschen [%];Act. perturbation [%];Bruit fluctuant [%];? fruscio (di fondo) [%];Statische ruis [%];Statik gürültü;Stat. hałas [%];Ruido estad. [%];Стат. шум [%];统计噪音 [%];Стат. рівень шуму [%];Statisztikai zaj [%];Στατιστικός θόρυβος [%]
Tare;Tare;Tare;Tara;Tareren;Dara  ;Tara;Tara;Тара;皮重;Тара;Tára;Ίδιο βάρος
Linieneigenschaften;Line Setup;Propriétés de lignes;Proprietà (della) linea ;Lijneigenschappen;Çizgi özellikleri ;Właściwości linii;Propiedades de la línea;Свойства линии;生产线特性;Властивості лінії;Vonal tulajdonságai;Ιδιότητες γραμμής
Rampenschritt [kg/h];Ramp step [kg/h];Fonction rampe [kg/h];Variazione a rampa [kg/h];aanloop stappen [kg/h];Rampa basamağı [kg/h];Krok rampy [kg/h];Paso de rampa [kg/h];Шаг рампы [кг/ч];斜坡步长 [kg/h］;Крок рампи [кг/год];Rámpalépés [kg/h];Βήμα ράμπας [kg/h]
